# d 校準報告  dump 2021-01-01～2023-06-30（603 日） data_version=fm-20260911-01 params_sha=a6a3f35cd1f0  p85 method=linear  閘門 15.0%  距離型容差 25%
# 鍵數：{'distance': 30, 'calibrate': 172, 'not_applicable': 90, 'persistence': 12}；有樣本的鍵 266／304；樣本合計 68,701,750、跳過 10,089,667
# clip_old%／clip_new%＝舊 d／新 d（p85÷3）下 |x−c|>3d 的比例；clip_eff%＝生效 d（見檔頭）下的比例；med!＝|median−c|>d_new；adopt＝距離型 |d_new−d_old|/d_old 超容差；gate＝clip_eff% > 閘門＋100/n（一個樣本的離散化餘裕；嚴格版見下方清單）；p85=0 者 d_eff 留空＝退化
category     key                                                               n       c    d_old       p85     d_new  clipO%  clipN%    d_eff  clipE%     median med! adopt gate
calibrate    market_index__tpex__mid__1__B__ma20_slope                       603    0.00   1.0000    4.8225    1.6075   45.27   15.09   1.6075   15.09     0.9730          —     
calibrate    market_index__tpex__mid__2__C__new_high_low_ratio               603    0.00   3.0000   11.5276    3.8425   23.22   15.09   3.8425   15.09     2.4969          —     
calibrate    market_index__tpex__mid__2__D__ad_line_dev                      603    0.00   1.0000    2.1946    0.7315    4.98   15.09   0.7315   15.09    -0.0052          —     
calibrate    market_index__tpex__mid__3__A__amount_ratio                     603    1.00   0.3000    0.1885    0.0628    0.00   15.09   0.0628   15.09     0.9912          —     
calibrate    market_index__tpex__mid__4__A__foreign_net_ratio                603    0.00   0.5000    1.2343    0.4114   10.45   15.09   0.4114   15.09    -0.3247          —     
calibrate    market_index__tpex__mid__4__B__trust_net_ratio                  603    0.00   0.1000    0.6005    0.2002   31.51   15.09   0.2002   15.09     0.0296          —     
calibrate    market_index__tpex__mid__4__D__margin_change                    603    0.00   2.0000   11.5717    3.8572   45.11   15.09   3.8572   15.09     0.5200          —     
calibrate    market_index__tpex__mid__5__A__foreign_net_oi_change            603    0.00 5000.0000 14401.6000 4800.5333   13.43   15.09 4800.5333   15.09   649.0000          —     
calibrate    market_index__tpex__mid__5__B__basis                            573    0.00   0.3000    0.3374    0.1125    2.97   15.01   0.1125   15.01     0.0081          —     
calibrate    market_index__tpex__mid__6__A__sox_return                       603    0.00   5.0000   13.8792    4.6264   11.28   15.09   4.6264   15.09     1.1145          —     
calibrate    market_index__tpex__mid__6__A__spx_return                       603    0.00   3.0000    6.6758    2.2253    3.98   15.09   2.2253   15.09     1.1507          —     
calibrate    market_index__tpex__mid__6__B__usdtwd_change                    603    0.00   0.6000    2.1794    0.7265   20.90   15.09   0.7265   15.09     0.0977          —     
calibrate    market_index__tpex__short__1__B__ma20_slope                     603    0.00   0.5000    1.4978    0.4993   14.93   15.09   0.4993   15.09     0.3719          —     
calibrate    market_index__tpex__short__2__C__new_high_low_ratio             603    0.00   3.0000   29.8389    9.9463   62.19   15.09   9.9463   15.09     4.5169          —     
calibrate    market_index__tpex__short__2__D__ad_line_dev                    603    0.00   1.0000    2.2624    0.7541    5.80   15.09   0.7541   15.09     0.0843          —     
calibrate    market_index__tpex__short__3__A__amount_ratio                   603    1.00   0.3000    0.2722    0.0907    0.17   15.09   0.0907   15.09     0.9866          —     
calibrate    market_index__tpex__short__4__A__foreign_net_ratio              603    0.00   1.0000    1.7593    0.5864    2.99   15.09   0.5864   15.09    -0.3548          —     
calibrate    market_index__tpex__short__4__B__trust_net_ratio                603    0.00   0.2000    0.8069    0.2690   26.37   15.09   0.2690   15.09     0.0799          —     
calibrate    market_index__tpex__short__4__D__margin_change                  603    0.00   2.0000    3.7618    1.2539    5.31   15.09   1.2539   15.09     0.3480          —     
calibrate    market_index__tpex__short__5__A__foreign_net_oi_change          603    0.00 5000.0000 7605.6000 2535.2000    2.32   15.09 2535.2000   15.09  -310.0000          —     
calibrate    market_index__tpex__short__5__B__basis                          573    0.00   0.3000    0.3374    0.1125    2.97   15.01   0.1125   15.01     0.0081          —     
calibrate    market_index__tpex__short__6__A__sox_return                     603    0.00   2.5000    6.4407    2.1469   10.78   15.09   2.1469   15.09     0.2807          —     
calibrate    market_index__tpex__short__6__A__spx_return                     603    0.00   1.5000    3.3644    1.1215    7.13   15.09   1.1215   15.09     0.3036          —     
calibrate    market_index__tpex__short__6__B__usdtwd_change                  603    0.00   0.3000    0.8495    0.2832   13.27   15.09   0.2832   15.09     0.0672          —     
calibrate    market_index__tpex__swing__1__B__ma20_slope                     603    0.00   0.7000    2.7416    0.9139   29.02   15.09   0.9139   15.09     0.6848          —     
calibrate    market_index__tpex__swing__2__C__new_high_low_ratio             603    0.00   3.0000   21.6029    7.2010   50.91   15.09   7.2010   15.09     4.0994          —     
calibrate    market_index__tpex__swing__2__D__ad_line_dev                    603    0.00   1.0000    2.3301    0.7767    6.30   15.09   0.7767   15.09     0.0812          —     
calibrate    market_index__tpex__swing__3__A__amount_ratio                   603    1.00   0.3000    0.2014    0.0671    0.00   15.09   0.0671   15.09     0.9907          —     
