data_version=fm-20260911-01 params_sha=6a1bb7f46402 window=320 比對 10 日（2026-09-01～2026-09-14）；repo 原料包 480 份（區間內 10 份）、參考交易日 10 日
2026-09-01  原料包 相同 | 分數 共同 5,835 列 不同 5,835 | diag 相同 | 歸類 ①0 ②0 ③0 ④0 ⑤0 ⑥0 ①連帶1944
    2026-09-01: ('tpex', 'mid', '1240') 欄 line_6: A=34.004999552134194 B=33.96112839508231
    2026-09-01: ('tpex', 'mid', '1259') 欄 line_6: A=46.348427248850975 B=46.3045560917991
    2026-09-01: ('tpex', 'mid', '1264') 欄 line_6: A=38.05131041216681 B=38.00743925511494
    2026-09-01: ('tpex', 'mid', '1268') 欄 line_6: A=45.673185023360446 B=45.629313866308564
    2026-09-01: ('tpex', 'mid', '1294') 欄 line_6: A=38.05131041216681 B=38.00743925511494
    2026-09-01: ('tpex', 'mid', '1295') 欄 line_6: A=38.05131041216681 B=38.00743925511494
    2026-09-01: ('tpex', 'mid', '1336') 欄 line_6: A=50.16920446759978 B=50.1253333105479
    2026-09-01: ('tpex', 'mid', '1565') 欄 line_6: A=41.72463424027971 B=41.68076308322783
    2026-09-01: ('tpex', 'mid', '1569') 欄 line_6: A=43.58211093811512 B=43.53823978106324
    2026-09-01: ('tpex', 'mid', '1570') 欄 line_6: A=45.43867498810424 B=45.39480383105236
    2026-09-01: ('tpex', 'mid', '1580') 欄 line_6: A=45.43867498810424 B=45.39480383105236
    2026-09-01: ('tpex', 'mid', '1584') 欄 line_6: A=48.07868498813335 B=48.034813831081465
    2026-09-01: ('tpex', 'mid', '1586') 欄 line_6: A=45.43867498810424 B=45.39480383105236
    2026-09-01: ('tpex', 'mid', '1591') 欄 line_6: A=45.43867498810424 B=45.39480383105236
    2026-09-01: ('tpex', 'mid', '1593') 欄 line_6: A=50.914890147792235 B=50.87101899074036
    2026-09-01: ('tpex', 'mid', '1595') 欄 line_6: A=52.82734259578018 B=52.7834714387283
    2026-09-01: ('tpex', 'mid', '1599') 欄 line_6: A=45.43867498810424 B=45.39480383105236
    2026-09-01: ('tpex', 'mid', '1742') 欄 line_6: A=52.727316519671305 B=52.68344536261942
    2026-09-01: ('tpex', 'mid', '1777') 欄 line_6: A=41.72463424027971 B=41.68076308322783
    2026-09-01: ('tpex', 'mid', '1780') 欄 line_6: A=38.05131041216681 B=38.00743925511494
    2026-09-01: ('tpex', 'mid', '1781') 欄 line_6: A=39.53599038379326 B=39.49211922674138
    2026-09-01: ('tpex', 'mid', '1784') 欄 line_6: A=41.72463424027971 B=41.68076308322783
    2026-09-01: ('tpex', 'mid', '1785') 欄 line_6: A=53.91108662883464 B=53.867215471782764
    2026-09-01: ('tpex', 'mid', '1788') 欄 line_6: A=39.53599038379326 B=39.49211922674138
    2026-09-01: ('tpex', 'mid', '1796') 欄 line_6: A=36.05701799460334 B=36.01314683755146
    2026-09-01: ('tpex', 'mid', '1799') 欄 line_6: A=41.72463424027971 B=41.68076308322783
    2026-09-01: ('tpex', 'mid', '1813') 欄 line_6: A=39.53599038379326 B=39.49211922674138
    2026-09-01: ('tpex', 'mid', '1815') 欄 line_6: A=50.16920446759978 B=50.1253333105479
    2026-09-01: ('tpex', 'mid', '2035') 欄 line_6: A=63.910275014671825 B=63.86640385761994
    2026-09-01: ('tpex', 'mid', '2061') 欄 line_6: A=53.60106220366632 B=53.557191046614435
    2026-09-01: ('tpex', 'mid', '2063') 欄 line_6: A=49.8473828259376 B=49.803511668885726
    2026-09-01: ('tpex', 'mid', '2064') 欄 line_6: A=45.273544179141325 B=45.22967302208945
    2026-09-01: ('tpex', 'mid', '2065') 欄 line_6: A=49.8473828259376 B=49.803511668885726
    2026-09-01: ('tpex', 'mid', '2066') 欄 line_6: A=45.43867498810424 B=45.39480383105236
    2026-09-01: ('tpex', 'mid', '2067') 欄 line_6: A=45.43867498810424 B=45.39480383105236
    2026-09-01: ('tpex', 'mid', '2070') 欄 line_6: A=45.43867498810424 B=45.39480383105236
    2026-09-01: ('tpex', 'mid', '2221') 欄 line_6: A=48.07868498813335 B=48.034813831081465
    2026-09-01: ('tpex', 'mid', '2230') 欄 line_6: A=42.6834380011677 B=42.639566844115826
    2026-09-01: ('tpex', 'mid', '2235') 欄 line_6: A=40.83095126442364 B=40.787080107371764
    2026-09-01: ('tpex', 'mid', '2596') 欄 line_6: A=47.560779449079035 B=47.51690829202716
    2026-09-01: ('tpex', 'mid', '2640') 欄 line_6: A=42.68517694592982 B=42.64130578887794
    2026-09-01: ('tpex', 'mid', '2641') 欄 line_6: A=47.78980888791476 B=47.74593773086288
    2026-09-01: ('tpex', 'mid', '2643') 欄 line_6: A=47.78980888791476 B=47.74593773086288
